,term,value
1419,lawl,3
1420,lawsuit,-2
1421,lawsuits,-2
1422,lazy,-1
1423,leak,-1
1424,leaked,-1
1425,leave,-1
1426,legal,1
1427,legally,1
1428,lenient,1
1429,lethargic,-2
1430,lethargy,-2
1431,liar,-3
1432,liars,-3
1433,libelous,-2
1434,lied,-2
1435,lifesaver,4
1436,lighthearted,1
1437,like,2
1438,liked,2
1439,likes,2
1440,limitation,-1
1441,limited,-1
1442,limits,-1
1443,litigation,-1
1444,litigious,-2
1445,lively,2
1446,livid,-2
1447,lmao,4
1448,lmfao,4
1449,loathe,-3
1450,loathed,-3
1451,loathes,-3
1452,loathing,-3
1453,lobby,-2
1454,lobbying,-2
1455,lol,3
1456,lonely,-2
1457,lonesome,-2
1458,longing,-1
1459,loom,-1
1460,loomed,-1
1461,looming,-1
1462,looms,-1
1463,loose,-3
1464,looses,-3
1465,loser,-3
1466,losing,-3
1467,loss,-3
1468,lost,-3
1469,lovable,3
1470,love,3
1471,loved,3
1472,lovelies,3
1473,lovely,3
1474,loving,2
1475,lowest,-1
1476,loyal,3
1477,loyalty,3
1478,luck,3
1479,luckily,3
1480,lucky,3
1481,lugubrious,-2
1482,lunatic,-3
1483,lunatics,-3
1484,lurk,-1
1485,lurking,-1
1486,lurks,-1
1487,mad,-3
1488,maddening,-3
1489,made-up,-1
1490,madly,-3
1491,madness,-3
1492,mandatory,-1
1493,manipulated,-1
1494,manipulating,-1
1495,manipulation,-1
1496,marvel,3
1497,marvelous,3
1498,marvels,3
1499,masterpiece,4
1500,masterpieces,4
1501,matter,1
1502,matters,1
1503,mature,2
1504,meaningful,2
1505,meaningless,-2
1506,medal,3
1507,mediocrity,-3
1508,meditative,1
1509,melancholy,-2
1510,menace,-2
1511,menaced,-2
1512,mercy,2
1513,merry,3
1514,mess,-2
1515,messed,-2
1516,messing up,-2
1517,methodical,2
1518,mindless,-2
1519,miracle,4
1520,mirth,3
1521,mirthful,3
1522,mirthfully,3
1523,misbehave,-2
1524,misbehaved,-2
1525,misbehaves,-2
1526,misbehaving,-2
1527,mischief,-1
1528,mischiefs,-1
1529,miserable,-3
1530,misery,-2
1531,misgiving,-2
1532,misinformation,-2
1533,misinformed,-2
1534,misinterpreted,-2
1535,misleading,-3
1536,misread,-1
1537,misreporting,-2
1538,misrepresentation,-2
1539,miss,-2
1540,missed,-2
1541,missing,-2
1542,mistake,-2
1543,mistaken,-2
1544,mistakes,-2
